id,goods_condition,name,place_name_condition,date_condition,機率(0~1) ,description,memo,"0無限制,1先有某個道具,2日期,3地點名稱",計算方式，在條件內的道具，所有數字相加，例如:A 0.01、B 0.02、C 0.03 全部相加，剩下的是沒得到到具的機率，以上面這個例子，百分之九十四拿不到道具。百分之六拿得到道具。
,,Soda獎章,,,1,,回報App Bug or 建議,,
3,,破鞋一隻,Every Where,,0.05,,,0,
4,,紅白機,中山地下街,,0.001,,,3,
5,,酒促小姐一枚,中山北路,,,,,3,
6,,先總統蔣公遺囑,中正紀念堂,,0.5,,Peter:這個太酷了,3,
7,,國父遺囑,國父紀念館,,0.5,,,3,
8,,狂牛症牛肉,美國領事館,,0.01,,,3,
9,,早餐吐司,美而美|美又美,,,,,3,
10,,中華民國國旗,10/10號打卡,,0.01,,,2,
11,,缺了寶石的戒指,林家花園,,0.0002,,,1,
12,,貓的靴子,侯硐,,,,,3,
13,,貓的劍,侯硐,,,,,,
14,,貓的帽子,侯硐,,,,,,
15,"貓的靴子,貓的劍,貓的帽子",鞋貓劍客的玩偶,侯硐,,,,,,
16,,街頭藝人的零錢箱,西門町六號出口|高雄愛河,,,,,,
17,,野狗口中掉下的骨頭,%市場,,,,,,
18,,沒有鏡片的高倍數望遠鏡,%天文台,,,,,,
19,,玻璃,五金行|玻璃行,,,,,,
20,玻璃,望遠鏡用鏡片,%工坊,,,,,,
21,,橋樑的藍圖,%大橋,,,,,,
22,,印著藍腹鷴的郵票,郵局,,,,,,
23,,空姐遺落的手帕,機場,,,,,,
24,,咖啡原豆,%咖啡,,,,,,
25,咖啡原豆,烘培過的咖啡豆,%烘%,,,,,,
26,,書蟲的標本,%圖書館,,,,,,
27,,陳舊的哈哈書套,%書局,,,,,,
28,,艾倫的左手,%漫畫%,,,,,,
29,,達文西的草稿,%博物館|%美術館,,,,,,
30,,禮品店員的手機號碼,%博物館|%美術館,,,,,,
31,,梵谷的自畫像,%博物館|%美術館,,,,,,
32,,門票存根聯,%博物館|%美術館,,,,,,
33,,沒電的相機電池,%博物館|%美術館,,,,,,
34,,清明上河圖的左半部,%博物館|%美術館,,,,,,
35,,清明上河圖的右半部,%博物館|%美術館,,,,,,
36,清明上河圖的左半部&右半,清明上河圖,%博物館|%美術館,,,,,,
37,,金黃酥脆的鍋貼,八方雲集|四海遊龍,,,,,,
38,印著藍腹鷴的郵票,藍腹鷴地圖,特有生物研究保育中心,,,,,,
39,藍腹鷴地圖,藍腹鷴,玉山國家公園|雪霸國家公園,,,,,,
40,,電影票的一角,%電影%,,,,,,
41,電影票的一角*30,電影票一張,%電影%,,,,,,
42,,印有愛心狗鍊,%公園,,,,,,
43,,老伯遺落的象棋子,%公園,,,,,,
44,,稀有的四葉幸運草,%公園,,,,,,
45,,熱騰騰的紅豆餅,%公園,,,,,,
46,,掉在地上的號碼牌,%夜市,,,,,,
47,,免洗碗筷,%夜市,,,,,,
48,,打折的小洋裝,%夜市,,,,,,
49,,沾著番茄醬的熱狗,%夜市,,,,,,
50,,Cicy Cafe的杯套,7-eleven,,,,,,
51,,Cicy Cafe的杯蓋,7-eleven,,,,,,
52,,Cicy Cafe的杯子,7-eleven,,,,,,
53,Cicy Cafe的杯套+Cicy Cafe的杯蓋+Cicy Cafe的杯子,City Cafe 兌換券,7-eleven,,,,,,
