name,place_name_condition,date_condition,goods_condition,rate_level,description,memo
Soda獎章,,,,,,回報App Bug or 建議
破鞋一隻,,,,,,
紅白機,中山地下街,,,,,
酒促小姐一枚,中山北路,,,,,
先總統蔣公遺囑,中正紀念堂,,,,,Peter:這個太酷了
國父遺囑,國父紀念館,,,,,
狂牛症牛肉,美國領事館,,,,,
早餐吐司,美而美|美又美,,,,,
中華民國國旗,,10/10,,,,
缺了寶石的戒指,林家花園,,,,,
貓的靴子,侯硐,,,,,
貓的劍,侯硐,,,,,
貓的帽子,侯硐,,,,,
鞋貓劍客的玩偶,侯硐,,"貓的靴子,貓的劍,貓的帽子",,,
街頭藝人的零錢箱,西門町六號出口|高雄愛河,,,,,
野狗口中掉下的骨頭,*市場,,,,,
沒有鏡片的高倍數望遠鏡,*天文台,,,,,
玻璃,五金行|玻璃行,,,,,
望遠鏡用鏡片,*工坊,,玻璃,,,
橋樑的藍圖,*大橋,,,,,
印著藍腹鷴的郵票,郵局,,,,,
空姐遺落的手帕,機場,,,,,
咖啡原豆,*咖啡,,,,,
烘培過的咖啡豆,*烘*,,咖啡原豆,,,
書蟲的標本,*圖書館,,,,,
陳舊的哈哈書套,*書局,,,,,
艾倫的左手,*漫畫*,,,,,
達文西的草稿,*博物館|*美術館,,,,,
禮品店員的手機號碼,*博物館|*美術館,,,,,
梵谷的自畫像,*博物館|*美術館,,,,,
門票存根聯,*博物館|*美術館,,,,,
沒電的相機電池,*博物館|*美術館,,,,,
清明上河圖的左半部,*博物館|*美術館,,,,,
清明上河圖的右半部,*博物館|*美術館,,,,,
清明上河圖,*博物館|*美術館,,清明上河圖的左半部&右半,,,
金黃酥脆的鍋貼,八方雲集|四海遊龍,,,,,
藍腹鷴地圖,特有生物研究保育中心,,印著藍腹鷴的郵票,,,
藍腹鷴,玉山國家公園|雪霸國家公園,,藍腹鷴地圖,,,
電影票的一角,*電影*,,,,,
電影票一張,*電影*,,電影票的一角*30,,,
印有愛心狗鍊,*公園,,,,,
老伯遺落的象棋子,*公園,,,,,
稀有的四葉幸運草,*公園,,,,,
熱騰騰的紅豆餅,*公園,,,,,
掉在地上的號碼牌,*夜市,,,,,
免洗碗筷,*夜市,,,,,
打折的小洋裝,*夜市,,,,,
沾著番茄醬的熱狗,*夜市,,,,,
Cicy Cafe的杯套,7-eleven,,,,,
Cicy Cafe的杯蓋,7-eleven,,,,,
Cicy Cafe的杯子,7-eleven,,,,,
City Cafe 兌換券,7-eleven,,Cicy Cafe的杯套+Cicy Cafe的杯蓋+Cicy Cafe的杯子,,,
